proccd_text,violence,svm_preictions,svm_0_probabilities(non_violence),svm_1_probabilities(violence)
urban women join,0,0,0.922048393,0.077951607
heart people rights,0,0,0.877656736,0.122343264
arab spring coup proves today people want,0,0,0.958833654,0.041166346
photo tear gas water cannon police square,1,1,0.353094169,0.646905831
ankara single demo point police yield sq demos disper,0,0,0.700502398,0.299497602
latest travel advice avoid,0,0,0.972689371,0.027310629
sow seeds spring via,0,0,0.932720954,0.067279046
good column even stays power never,0,0,0.959537105,0.040462895
square share us,0,0,0.915998444,0.084001556
group main party emerge voice,0,0,0.932720954,0.067279046
bruce willis let people dying dayan,0,0,0.914765103,0.085234897
recep tayyip riots,0,0,0.889610495,0.110389505
want get sooner later,0,0,0.957862494,0.042137506
square common future past,0,0,0.915998444,0.084001556
second return two months roman dig,0,0,0.932720954,0.067279046
polce use force ts people worse,0,0,0.736355976,0.263644024
great inside video,1,0,0.980655204,0.019344796
watch live asked,0,0,0.964465767,0.035534233
bbc news let us go let crush usridi mean,0,0,0.977898323,0.022101677
words wow via,0,0,0.932720954,0.067279046
must read sultan,0,0,0.949303558,0.050696442
turned nation wide,0,0,0.932720954,0.067279046
china says akp draft bill social pic square man,0,0,0.96083805,0.03916195
riot police break sit riot police used,0,1,0.573899824,0.426100176
shame first page today going,0,0,0.978663062,0.021336938
woman red power enough,0,0,0.876786788,0.123213212
patty pita tomato feta slaw red leaf,0,0,0.935249123,0.064750877
vs govt gdp growth loud mouth lesson us,0,0,0.949252875,0.050747125
days prompt spring,0,0,0.932720954,0.067279046
latest silent man,0,0,0.955019649,0.044980351
rather living shit going rains time,0,0,0.942006272,0.057993728
watt bout jolly times eo marios munn,0,0,0.932720954,0.067279046
gas mask pink,0,0,0.852141775,0.147858225
one man piano quell square,0,0,0.939322819,0.060677181
hereby tayyip new hitler,0,0,0.931326253,0.068673747
cards laid arthur van steen,0,0,0.932720954,0.067279046
grand theft auto,0,0,0.932720954,0.067279046
nice time gonna miss wow,0,0,0.908782486,0.091217514
full page ad one ever,0,0,0.932720954,0.067279046
true intl media staged attack,0,0,0.777558027,0.222441973
act going right every sense,0,0,0.937615454,0.062384546
io sit game every week gawker going,0,0,0.963061393,0.036938607
news bit tear gas police,1,1,0.583127796,0.416872204
week till cant wait,0,0,0.940406711,0.059593289
watch video via,0,0,0.972290939,0.027709061
thomas abuses power loses swan whilst left home rain gutted check steak tips beef dom meats,0,0,0.946460444,0.053539556
egg white yummy,0,0,0.932720954,0.067279046
future little kid,0,0,0.83497321,0.16502679
hence one killed police,0,1,0.446457491,0.553542509
please help us,0,0,0.917213922,0.082786078
thank tweets watch entire,0,0,0.904916517,0.095083483
make task kyle,0,0,0.977348188,0.022651812
randy david today,0,0,0.963770937,0.036229063
people read report friend sq,0,1,0.627885119,0.372114881
old man lost ear police allow move,1,0,0.764499663,0.235500337
dose tear good riot police,1,0,0.857031802,0.142968198
right dozens via,0,0,0.898133343,0.101866657
end utopia earth green ii,0,0,0.870609969,0.129390031
hot really hoe go yo,0,0,0.861583627,0.138416373
male gaming girls ouch cya,0,0,0.932720954,0.067279046
love bacon hella bomb,0,0,0.971043047,0.028956953
travel family group tours spain italy greece enjoy,0,0,0.981677627,0.018322373
day police every major aired entire minute,1,0,0.739588071,0.260411929
needs urgent police terror pls share,1,0,0.768903182,0.231096818
video video sent close friend mine hear yell get,0,0,0.94023437,0.05976563
scary mb shows even,0,0,0.932720954,0.067279046
iman nl hi world real looks like right,0,0,0.884030248,0.115969752
people stay strong see,0,0,0.877656736,0.122343264
ask many people days police taksi,1,1,0.636023162,0.363976838
ak vested danger,0,0,0.932720954,0.067279046
police fire anti video,1,0,0.774423383,0.225576617
god sakes eleven,0,0,0.932720954,0.067279046
please help us spread stop human rights,0,0,0.837151243,0.162848757
pics today izmir welt,0,0,0.963770937,0.036229063
love taste better,0,0,0.967076154,0.032923846
dozens tear gas fired revamp square,1,0,0.779681843,0.220318157
heart people rights,0,0,0.877656736,0.122343264
pekin video emb square,0,0,0.933414573,0.066585427
burger king didnt helped helped police gave free meals,0,0,0.772887098,0.227112902
asked crowd would get tear answer people gassed,0,0,0.716133579,0.283866421
muffy bear muffy,0,0,0.932720954,0.067279046
photos show front page story via,0,0,0.944740919,0.055259081
speech sounds almost scary oc,0,0,0.953801542,0.046198458
deploy army quell anti,0,0,0.915829183,0.084170817
ten police near,0,0,0.772863308,0.227136692
thanks effect big crowd allahu akbar,0,0,0.940938511,0.059061489
live tear gas inside divan hotel via,1,0,0.958247521,0.041752479
say must end news buzz,0,0,0.867583105,0.132416895
trying walk street back,0,0,0.845273783,0.154726217
guess tear gassed woman red symbol occupy,0,1,0.609352677,0.390647323
bagel cheese green red red onions,0,0,0.937688637,0.062311363
yeah occupy save police went nuts,0,0,0.786294462,0.213705538
denies water water mixed,1,0,0.785038039,0.214961961
call thnks much good cont,0,0,0.946482821,0.053517179
new past square,0,0,0.914288939,0.085711061
rpt moody says credit risk rise go,0,0,0.90611842,0.09388158
regard media police terror,0,0,0.694411321,0.305588679
claim police lots trust,1,0,0.772863308,0.227136692
eu agrees revive eu talks delays start new round least four mont,0,0,0.823234985,0.176765015
people closed akp stayed,0,0,0.935508266,0.064491734
fights syria seen region jordan,0,0,0.946974973,0.053025027
front divan hotel calmed still enough medics police closed,0,0,0.945091481,0.054908519
local says faiths,0,0,0.782525196,0.217474804
tear gas dutch,1,0,0.818153898,0.181846102
gets worse gt,0,0,0.932720954,0.067279046
yup mt says powers using,0,0,0.919171822,0.080828178
top news calm sides talk usa today bbc,0,0,0.946290008,0.053709992
people walks life leader party shout,0,0,0.897275045,0.102724955
first nasty photos,0,0,0.944740919,0.055259081
houses see truth hate,0,0,0.932720954,0.067279046
show turks aaron stein,0,0,0.932720954,0.067279046
silent still writes,0,0,0.932720954,0.067279046
video take last days,0,0,0.944663655,0.055336345
powers uk namely us plight,0,0,0.932720954,0.067279046
riot police enter square focus anti,0,0,0.911708547,0.088291453
well join coming,0,0,0.954557791,0.045442209
man join ranks,0,0,0.94644926,0.05355074
mersin window mersin,0,0,0.932720954,0.067279046
get taste govts chance,0,0,0.932720954,0.067279046
creek hur cum,0,0,0.932720954,0.067279046
forces know empty ankara,0,0,0.986608386,0.013391614
got please fell trees cont,0,0,0.875534461,0.124465539
st aid mosque,0,0,0.94467085,0.05532915
watch riots police june nwo,0,0,0.799629596,0.200370404
scenes boing boing,0,0,0.932720954,0.067279046
vines photos video,0,0,0.956789776,0.043210224
attack please go live,1,0,0.839619499,0.160380501
crowd right open police ist,0,0,0.72234679,0.27765321
speaks th time old louts tv every world live ignor,0,0,0.938228509,0.061771491
polce use force ts people worse,0,0,0.736355976,0.263644024
live years new trees across new parks ol,0,0,0.870677103,0.129322897
odd clouds pepper spray tear gas makes show,0,1,0.666368822,0.333631178
visit says visit,0,0,0.90611842,0.09388158
unions call strike street,0,0,0.853434806,0.146565194
early looks like war,1,0,0.932720954,0.067279046
bus hit wild,0,0,0.932720954,0.067279046
live video square,0,0,0.933425907,0.066574093
